下料批次号,零件号,面料号,零件外轮廓线坐标
L0005,s000001,M0005,"[[3248, 1518], [3250, 1521], [3251, 1524], [3251, 1588], [3250, 1592], [3247, 1594], [3244, 1595], [2481, 1595], [2477, 1594], [2475, 1591], [2474, 1588], [2474, 1524], [2475, 1520], [2478, 1518], [2481, 1517], [3244, 1517]]"
L0005,s000002,M0005,"[[7658, 15], [7662, 16], [7664, 19], [7665, 22], [7665, 84], [7664, 88], [7661, 90], [7658, 91], [6919, 92], [6915, 91], [6913, 88], [6912, 85], [6912, 21], [6913, 17], [6916, 15], [6919, 14]]"
L0005,s000003,M0005,"[[1647, 1413], [1651, 1414], [1654, 1417], [1654, 1420], [1655, 1460], [1654, 1464], [1651, 1466], [1648, 1467], [1606, 1469], [1601, 1467], [1579, 1446], [1577, 1443], [1577, 1438], [1601, 1414], [1606, 1412]]"
L0005,s000004,M0005,"[[14577, 1280], [14630, 1280], [14658, 1279], [14716, 1277], [14719, 1277], [14753, 1275], [14803, 1272], [14805, 1272], [14844, 1270], [14848, 1271], [14850, 1274], [14850, 1280], [14848, 1285], [14821, 1364], [14821, 1365], [14818, 1406], [14817, 1409], [14813, 1412], [14627, 1412], [14620, 1411], [14589, 1411], [14581, 1410], [14558, 1410], [14551, 1409], [14542, 1409], [14536, 1408], [14528, 1408], [14520, 1407], [14512, 1407], [14506, 1406], [14497, 1406], [14490, 1405], [14478, 1404], [14467, 1403], [14463, 1402], [14454, 1401], [14447, 1400], [14439, 1400], [14432, 1399], [14427, 1398], [14424, 1398], [14405, 1395], [14390, 1393], [14387, 1391], [14386, 1390], [14381, 1389], [14371, 1388], [14362, 1386], [14354, 1385], [14349, 1385], [14343, 1384], [14334, 1383], [14325, 1381], [14324, 1381], [14315, 1380], [14314, 1380], [14311, 1379], [14307, 1378], [14303, 1378], [14300, 1377], [14290, 1375], [14284, 1374], [14283, 1374], [14277, 1372], [14250, 1366], [14246, 1365], [14245, 1365], [14241, 1364], [14238, 1363], [14233, 1361], [14225, 1359], [14191, 1349], [14187, 1348], [14184, 1347], [14179, 1346], [14177, 1345], [14174, 1344], [14169, 1343], [14163, 1340], [14160, 1339], [14155, 1338], [14153, 1337], [14148, 1335], [14146, 1334], [14141, 1333], [14137, 1331], [14134, 1330], [14130, 1328], [14124, 1326], [14116, 1322], [14113, 1321], [14107, 1318], [14102, 1316], [14096, 1313], [14095, 1312], [14087, 1308], [14086, 1307], [14082, 1305], [14081, 1304], [14077, 1302], [14076, 1301], [14074, 1300], [14071, 1297], [14067, 1295], [14066, 1294], [14066, 1293], [14064, 1292], [14057, 1285], [14053, 1279], [14051, 1275], [14050, 1274], [14048, 1271], [14047, 1268], [14046, 1267], [14044, 1259], [14044, 1258], [14043, 1254], [14043, 1229], [14044, 1227], [14044, 1222], [14045, 1219], [14045, 1216], [14046, 1213], [14046, 1212], [14047, 1209], [14048, 1207], [14051, 1204], [14055, 1203], [14088, 1209], [14090, 1210], [14091, 1210], [14107, 1213], [14108, 1214], [14110, 1213], [14196, 1230], [14287, 1246], [14289, 1247], [14290, 1247], [14337, 1255], [14435, 1269], [14460, 1272], [14483, 1274], [14485, 1275], [14517, 1277], [14550, 1279], [14553, 1279]]"
L0005,s000005,M0005,"[[1948, 1517], [1952, 1520], [1953, 1525], [1951, 1540], [1951, 1541], [1950, 1543], [1951, 1546], [1951, 1547], [1953, 1561], [1952, 1565], [1948, 1569], [1885, 1592], [1881, 1592], [1879, 1591], [1849, 1570], [1846, 1567], [1846, 1563], [1847, 1560], [1858, 1544], [1847, 1527], [1846, 1523], [1847, 1519], [1849, 1517], [1879, 1496], [1883, 1495], [1885, 1495]]"
L0005,s000006,M0005,"[[3044, 1421], [3046, 1424], [3047, 1427], [3047, 1508], [3046, 1512], [3043, 1514], [3040, 1515], [2864, 1515], [2860, 1514], [2858, 1511], [2857, 1508], [2857, 1427], [2858, 1423], [2861, 1421], [2864, 1420], [3040, 1420]]"
L0005,s000007,M0005,"[[13179, 860], [13179, 862], [13180, 865], [13180, 867], [13181, 870], [13181, 872], [13183, 875], [13184, 878], [13185, 880], [13186, 881], [13186, 882], [13192, 888], [13193, 888], [13196, 891], [13198, 892], [13199, 893], [13209, 898], [13211, 898], [13215, 899], [13216, 900], [13217, 900], [13220, 901], [13224, 901], [13227, 902], [13228, 902], [13246, 904], [13249, 904], [13270, 905], [13292, 905], [13323, 903], [13325, 903], [13358, 899], [13392, 896], [13459, 887], [13463, 888], [13467, 892], [13480, 949], [13480, 953], [13477, 957], [13473, 958], [13430, 960], [13405, 1026], [13398, 1058], [13396, 1062], [13391, 1064], [13234, 1064], [13168, 1062], [13113, 1057], [13066, 1052], [13034, 1048], [13030, 1047], [13028, 1045], [12969, 1039], [12901, 1031], [12900, 1031], [12896, 1030], [12890, 1029], [12886, 1029], [12880, 1028], [12870, 1026], [12864, 1026], [12859, 1025], [12853, 1024], [12848, 1023], [12842, 1022], [12837, 1021], [12833, 1020], [12832, 1020], [12826, 1019], [12816, 1017], [12810, 1016], [12805, 1015], [12801, 1015], [12798, 1014], [12788, 1012], [12786, 1012], [12782, 1011], [12777, 1010], [12772, 1008], [12770, 1008], [12766, 1007], [12761, 1005], [12756, 1004], [12751, 1002], [12749, 1002], [12745, 1001], [12735, 997], [12730, 996], [12727, 995], [12726, 994], [12724, 993], [12718, 991], [12716, 990], [12715, 990], [12711, 989], [12703, 985], [12700, 984], [12686, 977], [12683, 974], [12675, 970], [12672, 967], [12670, 966], [12668, 964], [12666, 963], [12664, 961], [12663, 961], [12661, 958], [12659, 956], [12658, 954], [12656, 952], [12655, 950], [12653, 947], [12651, 945], [12646, 935], [12645, 932], [12644, 930], [12643, 927], [12642, 925], [12642, 921], [12641, 919], [12641, 913], [12640, 911], [12640, 895], [12641, 891], [12641, 887], [12642, 883], [12642, 878], [12643, 873], [12644, 867], [12646, 857], [12648, 854], [12652, 852], [12654, 852], [12688, 857], [12689, 858], [12691, 857], [12790, 875], [12841, 883], [12890, 891], [12892, 892], [12976, 902], [13005, 902], [13008, 901], [13012, 901], [13014, 900], [13016, 900], [13019, 899], [13020, 898], [13024, 896], [13026, 896], [13026, 895], [13032, 892], [13044, 880], [13046, 876], [13048, 874], [13049, 871], [13051, 867], [13052, 866], [13053, 863], [13055, 860], [13055, 859], [13057, 855], [13059, 849], [13060, 845], [13061, 842], [13063, 839], [13063, 837], [13064, 834], [13065, 830], [13066, 829], [13069, 823], [13068, 823], [13076, 798], [13080, 783], [13083, 780], [13086, 778], [13177, 771], [13181, 772], [13184, 775], [13185, 779], [13181, 812], [13179, 829], [13178, 844], [13178, 858]]"
L0005,s000008,M0005,"[[8026, 1], [8028, 4], [8029, 7], [8029, 75], [8028, 79], [8025, 81], [8022, 82], [7826, 82], [7822, 81], [7820, 78], [7819, 75], [7819, 7], [7820, 3], [7823, 1], [7826, 0], [8022, 0]]"
L0005,s000009,M0005,"[[1113, 586], [1112, 590], [1109, 592], [1105, 593], [878, 552], [874, 550], [872, 547], [872, 544], [876, 494], [878, 491], [881, 488], [886, 488], [887, 468], [888, 464], [894, 461], [922, 459], [983, 459], [1015, 460], [1029, 460], [1040, 461], [1052, 461], [1059, 462], [1067, 462], [1071, 463], [1072, 463], [1084, 464], [1117, 467], [1120, 469], [1123, 472], [1123, 475], [1119, 514], [1119, 517]]"
L0005,s000010,M0005,"[[12696, 1519], [12698, 1522], [12699, 1525], [12700, 1593], [12699, 1597], [12696, 1599], [12693, 1600], [12519, 1600], [12515, 1599], [12513, 1596], [12512, 1593], [12512, 1525], [12513, 1521], [12516, 1519], [12519, 1518], [12692, 1518]]"
