下料批次号,零件号,面料号,零件外轮廓线坐标
L0004,s000001,M0004,"[[783.0, 327.0], [1490.5, 327.0], [1490.5, 392.0], [783.0, 392.0], [783.0, 327.0]]"
L0004,s000002,M0004,"[[7096.0, 50.0], [7095.2, 54.59999999999991], [7094.3, 60.200000000000045], [7093.4, 66.0], [7092.4, 72.0], [7090.5, 84.29999999999995], [7088.4, 97.0], [7086.4, 109.80000000000018], [7084.3, 122.5], [7082.3, 135.0999999999999], [7080.9, 144.19999999999982], [7079.5, 153.0999999999999], [7076.9, 170.80000000000018], [7075.5, 181.0999999999999], [7074.4, 191.4000000000001], [7073.9, 198.80000000000018], [7073.5, 206.0999999999999], [7072.9, 212.9000000000001], [7072.1, 219.5999999999999], [7070.3, 233.0999999999999], [7069.0, 244.4000000000001], [7067.8, 255.80000000000018], [7065.7, 278.5999999999999], [7063.5, 305.0], [7062.4, 318.0], [7061.3, 330.6999999999998], [7056.6, 331.0999999999999], [7052.3, 331.4000000000001], [7048.4, 331.6999999999998], [7044.7, 331.9000000000001], [7041.3, 332.1999999999998], [7038.0, 332.4000000000001], [7031.6, 332.8000000000002], [7023.5, 333.4000000000001], [7015.1, 334.0], [7006.3, 334.5], [6997.3, 335.0999999999999], [6988.2, 335.5999999999999], [6978.9, 336.1999999999998], [6969.7, 336.5999999999999], [6960.5, 337.0], [6950.2, 337.5], [6939.9, 337.8000000000002], [6919.6, 338.6999999999998], [6911.9, 339.1999999999998], [6904.2, 339.8000000000002], [6892.9, 341.0], [6886.6, 341.6999999999998], [6885.4, 341.9000000000001], [6880.4, 342.6999999999998], [6876.6, 343.5], [6872.9, 344.5], [6865.5, 346.5999999999999], [6860.3, 348.1999999999998], [6857.8, 349.1999999999998], [6855.3, 350.4000000000001], [6853.3, 351.5], [6851.3, 352.9000000000001], [6847.5, 355.8000000000002], [6843.2, 359.6999999999998], [6839.3, 364.0], [6836.7, 367.5], [6834.2, 371.0999999999999], [6831.2, 376.0999999999999], [6828.5, 381.3000000000002], [6825.8, 387.8000000000002], [6823.5, 394.0999999999999], [6812.1, 391.1999999999998], [6800.9, 388.3000000000002], [6778.9, 382.8000000000002], [6757.2, 377.4000000000001], [6735.6, 372.0999999999999], [6710.0, 366.3000000000002], [6684.1, 360.6999999999998], [6658.0, 355.5], [6631.9, 350.6999999999998], [6616.1, 348.0], [6600.3, 345.5], [6568.7, 340.9000000000001], [6543.2, 337.3000000000002], [6517.5, 334.0], [6491.9, 331.0], [6466.2, 328.5], [6441.3, 326.5], [6416.3, 324.8000000000002], [6380.0, 322.9000000000001], [6344.5, 321.1999999999998], [6317.0, 320.3000000000002], [6289.5, 319.5], [6262.0, 319.0], [6234.5, 318.5999999999999], [6171.7, 317.9000000000001], [6109.1, 317.1999999999998], [6061.6, 316.6999999999998], [6037.8, 316.5], [6013.6, 316.3000000000002], [5990.6, 316.1999999999998], [5967.6, 316.0999999999999], [5956.3, 316.0], [5905.7, 316.0], [5899.6, 316.0999999999999], [5872.3, 316.0999999999999], [5872.3, 81.70000000000005], [5876.1, 81.70000000000005], [5879.7, 81.79999999999995], [5886.6, 81.79999999999995], [5893.0, 81.90000000000009], [5910.5, 81.90000000000009], [5921.5, 82.0], [5949.0, 82.0], [5963.4, 81.90000000000009], [5978.1, 81.90000000000009], [5993.1, 81.79999999999995], [6008.1, 81.70000000000005], [6038.3, 81.59999999999991], [6057.7, 81.5], [6076.8, 81.40000000000009], [6095.8, 81.40000000000009], [6114.6, 81.29999999999995], [6152.1, 81.09999999999991], [6189.5, 80.70000000000005], [6228.8, 80.20000000000005], [6268.3, 79.29999999999995], [6307.8, 78.09999999999991], [6347.3, 76.40000000000009], [6390.7, 74.0], [6432.3, 71.5], [6466.7, 69.20000000000005], [6501.9, 66.59999999999991], [6519.5, 65.09999999999991], [6537.1, 63.5], [6559.2, 61.299999999999955], [6581.3, 58.799999999999955], [6608.6, 55.700000000000045], [6635.8, 52.09999999999991], [6658.3, 48.700000000000045], [6680.7, 45.0], [6703.7, 40.90000000000009], [6726.7, 36.59999999999991], [6749.9, 32.09999999999991], [6773.1, 27.5], [6803.2, 21.299999999999955], [6814.6, 19.0], [6826.0, 16.90000000000009], [6837.5, 15.099999999999909], [6849.0, 13.599999999999909], [6864.6, 12.0], [6880.1, 10.5], [6895.4, 9.0], [6903.0, 8.400000000000091], [6910.4, 7.7000000000000455], [6910.3, 8.799999999999955], [6910.2, 9.599999999999909], [7097.8, 39.0], [7097.0, 43.90000000000009], [7096.1, 49.09999999999991], [7096.0, 50.0]]"
L0004,s000003,M0004,"[[506.0, 1543.0], [806.0, 1543.0], [806.0, 1583.0], [506.0, 1583.0], [506.0, 1543.0]]"
L0004,s000004,M0004,"[[8602.0, 1163.0], [8603.2, 1166.6], [8604.0, 1168.3], [8604.9, 1170.0], [8606.0, 1171.4], [8607.2, 1172.8], [8609.9, 1175.3], [8612.6, 1177.3], [8615.6, 1178.8], [8618.8, 1180.1], [8622.1, 1181.1], [8629.8, 1183.2], [8637.5, 1185.1], [8645.1, 1186.9], [8648.8, 1187.7], [8652.3, 1188.6], [8655.8, 1189.4], [8659.4, 1190.2], [8663.3, 1191.2], [8665.4, 1191.7], [8667.7, 1192.2], [8664.0, 1200.0], [8660.1, 1208.1], [8656.2, 1216.5], [8655.2, 1218.5], [8652.3, 1224.8], [8646.7, 1237.3], [8641.2, 1249.7], [8635.1, 1264.1], [8628.8, 1278.4], [8617.5, 1303.9], [8611.0, 1317.9], [8604.4, 1332.0], [8600.7, 1339.4], [8598.8, 1343.4], [8595.9, 1349.0], [8593.1, 1354.4], [8589.0, 1361.8], [8586.8, 1365.6], [8584.4, 1369.7], [8582.6, 1368.6], [8581.0, 1367.7], [8579.7, 1367.0], [8578.6, 1366.4], [8577.7, 1365.8], [8576.8, 1365.3], [8575.3, 1364.5], [8572.2, 1362.7], [8568.6, 1360.7], [8564.6, 1358.5], [8560.3, 1356.1], [8555.8, 1353.7], [8551.1, 1351.2], [8546.5, 1348.8], [8541.8, 1346.5], [8535.5, 1343.5], [8529.3, 1340.7], [8517.2, 1335.5], [8501.7, 1329.0], [8493.8, 1325.8], [8485.8, 1322.9], [8474.3, 1319.1], [8462.7, 1315.8], [8462.1, 1315.6], [8452.4, 1313.2], [8442.1, 1310.8], [8432.3, 1308.8], [8427.4, 1307.9], [8422.5, 1307.2], [8414.9, 1306.5], [8407.3, 1306.3], [8398.6, 1306.4], [8390.0, 1307.0], [8383.4, 1307.9], [8376.8, 1309.3], [8374.0, 1310.0], [8371.2, 1310.9], [8368.5, 1312.0], [8365.7, 1313.1], [8363.1, 1314.2], [8360.7, 1315.6], [8359.3, 1316.7], [8357.9, 1317.9], [8355.3, 1320.4], [8352.9, 1323.0], [8350.9, 1325.6], [8349.2, 1328.4], [8347.4, 1331.9], [8345.9, 1335.6], [8344.4, 1339.9], [8343.1, 1344.3], [8337.6, 1343.0], [8332.5, 1341.9], [8327.6, 1340.8], [8322.7, 1339.9], [8315.2, 1338.5], [8307.5, 1337.2], [8291.9, 1335.0], [8276.9, 1333.1], [8262.1, 1331.4], [8247.4, 1330.1], [8232.7, 1329.1], [8220.0, 1328.5], [8213.6, 1328.4], [8207.3, 1328.4], [8196.7, 1328.7], [8186.0, 1329.4], [8171.7, 1330.5], [8161.5, 1331.5], [8151.2, 1332.6], [8132.1, 1334.7], [8122.7, 1335.8], [8113.3, 1336.9], [8105.8, 1337.7], [8098.3, 1338.6], [8090.6, 1339.5], [8082.6, 1340.4], [8071.7, 1338.1], [8062.4, 1338.7], [8052.6, 1339.4], [8042.4, 1340.0], [8032.0, 1340.6], [8021.3, 1341.2], [8010.6, 1341.8], [7999.8, 1342.3], [7989.1, 1342.8], [7976.7, 1343.2], [7964.5, 1343.6], [7940.2, 1344.2], [7916.7, 1344.8], [7893.2, 1345.2], [7861.2, 1345.2], [7845.1, 1345.1], [7841.6, 1345.1], [7828.8, 1345.2], [7816.6, 1345.3], [7810.6, 1345.4], [7804.7, 1345.5], [7799.4, 1345.6], [7794.2, 1345.7], [7789.0, 1345.9], [7783.7, 1346.0], [7778.2, 1346.2], [7772.4, 1346.4], [7766.1, 1346.7], [7762.8, 1346.8], [7759.3, 1346.9], [7744.0, 1137.4], [7772.1, 1136.7], [7772.2, 1135.4], [7772.3, 1134.1], [7772.5, 1131.9], [7773.4, 1127.4], [7774.5, 1122.7], [7776.2, 1116.5], [7777.2, 1113.5], [7778.3, 1110.5], [7780.3, 1106.1], [7782.6, 1101.8], [7785.3, 1097.6], [7786.8, 1095.7], [7788.4, 1093.8], [7791.3, 1091.3], [7794.4, 1089.0], [7799.3, 1085.5], [7804.2, 1082.3], [7808.0, 1080.1], [7811.8, 1078.2], [7815.7, 1076.5], [7819.7, 1074.8], [7830.2, 1070.9], [7840.8, 1067.3], [7853.7, 1063.3], [7866.6, 1059.6], [7885.2, 1054.7], [7894.5, 1052.4], [7903.9, 1050.3], [7914.8, 1048.1], [7925.7, 1046.0], [7947.7, 1042.3], [7967.3, 1039.2], [7977.1, 1037.9], [7986.9, 1036.7], [7996.1, 1035.8], [8005.3, 1035.1], [8023.8, 1034.0], [8066.9, 1031.7], [8098.5, 1030.3], [8114.4, 1029.7], [8130.2, 1029.2], [8146.3, 1028.9], [8162.4, 1028.8], [8194.5, 1028.7], [8194.8, 1024.2], [8205.3, 1023.8], [8215.4, 1023.4], [8225.4, 1023.1], [8235.3, 1022.9], [8247.4, 1022.9], [8259.6, 1023.0], [8271.9, 1023.3], [8284.2, 1023.9], [8299.4, 1024.8], [8314.5, 1025.9], [8329.5, 1027.3], [8344.5, 1028.9], [8366.1, 1031.4], [8387.8, 1034.3], [8409.6, 1037.4], [8431.7, 1040.8], [8452.8, 1044.0], [8474.1, 1047.4], [8495.4, 1050.9], [8516.5, 1054.4], [8526.9, 1056.1], [8537.1, 1057.8], [8547.2, 1059.5], [8557.1, 1061.1], [8566.8, 1062.8], [8576.2, 1064.3], [8585.3, 1065.9], [8594.2, 1067.4], [8595.0, 1113.7], [8595.5, 1118.1], [8596.1, 1122.8], [8596.7, 1127.8], [8597.4, 1133.1], [8598.1, 1138.6], [8598.9, 1144.1], [8600.5, 1155.1], [8601.1, 1159.1], [8602.0, 1163.0]]"
L0004,s000005,M0004,"[[7.0, 1481.0], [207.0, 1481.0], [207.0, 1521.0], [7.0, 1521.0], [7.0, 1481.0]]"
L0004,s000006,M0004,"[[1193.0, 1593.0], [1193.0, 1553.0], [1493.0, 1553.0], [1493.0, 1593.0], [1193.0, 1593.0]]"
L0004,s000007,M0004,"[[3219.0, 959.0], [3219.0, 961.0], [3219.1000000000004, 962.8], [3219.1000000000004, 964.3], [3219.2, 965.8], [3219.3, 968.2], [3219.3999999999996, 970.6], [3219.5, 974.9], [3219.7, 979.6], [3220.0, 984.5999999999999], [3220.2, 989.7], [3220.3999999999996, 994.9000000000001], [3220.7, 999.9000000000001], [3220.8999999999996, 1004.7], [3221.1000000000004, 1009.0], [2986.0, 1009.2], [2984.8999999999996, 1008.2], [2983.8999999999996, 1007.3], [2982.0, 1005.7], [2980.1000000000004, 1004.0], [2978.1000000000004, 1002.4000000000001], [2976.1000000000004, 1000.7], [2974.2, 999.2], [2978.2, 995.9000000000001], [2982.0, 992.8], [2986.8999999999996, 988.5], [2989.3, 986.2], [2991.3999999999996, 983.8], [2993.0, 981.8], [2994.5, 979.7], [2997.2, 975.2], [3000.7, 969.2], [3002.3999999999996, 966.2], [3004.1000000000004, 963.4], [3005.5, 963.0], [3007.1000000000004, 962.6], [3010.5, 961.8], [3014.1000000000004, 960.9], [3017.7, 960.0], [3021.1000000000004, 959.2], [3022.7, 958.8], [3024.1000000000004, 958.4], [3025.3999999999996, 958.1], [3026.3999999999996, 957.8], [3027.3, 957.6], [3028.1000000000004, 957.4], [3029.3999999999996, 957.1], [3029.5, 959.1], [3219.0, 959.0]]"
L0004,s000008,M0004,"[[4186.0, 19.0], [4187.8, 28.59999999999991], [4189.9, 39.799999999999955], [4192.1, 50.799999999999955], [4193.7, 58.5], [4195.4, 66.20000000000005], [4197.2, 73.80000000000018], [4199.2, 81.69999999999982], [4200.7, 87.5], [4202.3, 93.19999999999982], [4203.6, 98.5], [4204.2, 101.09999999999991], [4204.7, 103.40000000000009], [4205.0, 105.0], [4205.6, 108.59999999999991], [4205.8, 109.69999999999982], [4206.0, 111.0], [4206.1, 112.5], [4206.2, 113.69999999999982], [4206.3, 114.80000000000018], [4206.3, 115.69999999999982], [4206.4, 117.19999999999982], [4206.5, 118.59999999999991], [4206.9, 121.80000000000018], [4207.4, 125.30000000000018], [4208.0, 129.19999999999982], [4208.8, 133.4000000000001], [4209.7, 137.80000000000018], [4210.6, 142.30000000000018], [4212.9, 151.69999999999982], [4215.8, 162.69999999999982], [4217.4, 168.0], [4218.9, 173.0999999999999], [4220.2, 177.9000000000001], [4221.5, 182.4000000000001], [4222.5, 186.4000000000001], [4223.3, 189.9000000000001], [4223.6, 191.19999999999982], [4224.0, 193.5999999999999], [4224.1, 194.69999999999982], [4224.3, 196.0], [4224.6, 197.5], [4224.7, 199.5999999999999], [4224.8, 201.0999999999999], [4224.9, 202.4000000000001], [4225.0, 203.30000000000018], [4225.0, 204.4000000000001], [4225.1, 205.0], [4225.3, 206.69999999999982], [4225.6, 208.69999999999982], [4226.1, 211.0], [4226.6, 213.69999999999982], [4227.1, 216.69999999999982], [4227.8, 220.0], [4228.5, 223.5999999999999], [4229.3, 227.4000000000001], [4230.2, 231.4000000000001], [4231.1, 235.69999999999982], [4232.1, 240.0999999999999], [4233.1, 244.69999999999982], [4235.3, 254.4000000000001], [4237.6, 264.4000000000001], [4240.0, 274.6999999999998], [4242.4, 285.0999999999999], [4244.9, 295.4000000000001], [4247.3, 305.4000000000001], [4248.4, 310.1999999999998], [4249.6, 314.9000000000001], [4250.7, 319.5], [4251.7, 323.9000000000001], [4252.8, 328.0999999999999], [4253.7, 332.0999999999999], [4254.6, 335.9000000000001], [4255.5, 339.4000000000001], [4256.2, 342.1999999999998], [4256.9, 345.0], [4257.6, 347.9000000000001], [4258.4, 351.0], [4259.3, 354.5], [4259.8, 356.4000000000001], [4260.3, 358.5], [4260.9, 360.8000000000002], [4261.5, 363.1999999999998], [4262.2, 365.8000000000002], [4262.9, 368.6999999999998], [4257.8, 369.3000000000002], [4252.9, 369.8000000000002], [4248.4, 370.4000000000001], [4244.1, 370.9000000000001], [4240.0, 371.3000000000002], [4236.2, 371.8000000000002], [4232.6, 372.1999999999998], [4229.1, 372.5999999999999], [4222.6, 373.4000000000001], [4216.5, 374.0999999999999], [4210.6, 374.8000000000002], [4204.7, 375.5], [4195.2, 376.5999999999999], [4185.3, 377.8000000000002], [4174.9, 379.0], [4164.3, 380.3000000000002], [4153.3, 381.5999999999999], [4142.0, 383.0], [4130.5, 384.3000000000002], [4118.9, 385.6999999999998], [4095.2, 388.5], [4071.3, 391.1999999999998], [4047.5, 393.8000000000002], [4035.7, 395.0999999999999], [4024.1000000000004, 396.3000000000002], [4014.1000000000004, 397.3000000000002], [4004.2, 398.4000000000001], [3994.3999999999996, 399.6999999999998], [3984.6000000000004, 401.4000000000001], [3983.3, 401.5999999999999], [3981.6000000000004, 401.9000000000001], [3979.6000000000004, 402.3000000000002], [3977.3, 402.8000000000002], [3974.8, 403.3000000000002], [3972.2, 403.9000000000001], [3967.1000000000004, 405.0], [3962.3999999999996, 406.1999999999998], [3958.1000000000004, 407.3000000000002], [3953.8999999999996, 408.5999999999999], [3949.8999999999996, 410.0], [3946.1000000000004, 411.5], [3942.2, 413.3000000000002], [3938.3999999999996, 415.1999999999998], [3934.6000000000004, 417.1999999999998], [3930.7, 419.6999999999998], [3926.8999999999996, 422.4000000000001], [3922.3, 425.9000000000001], [3918.0, 429.8000000000002], [3913.7, 434.4000000000001], [3911.8, 436.8000000000002], [3910.0, 439.4000000000001], [3908.2, 442.3000000000002], [3906.6000000000004, 445.3000000000002], [3905.2, 448.3000000000002], [3904.0, 451.5], [3903.1000000000004, 454.4000000000001], [3902.3999999999996, 457.4000000000001], [3901.3, 463.5], [3900.6000000000004, 469.6999999999998], [3900.1000000000004, 475.9000000000001], [3899.3, 490.6999999999998], [3899.0, 497.9000000000001], [3898.8999999999996, 505.0], [3898.8999999999996, 510.9000000000001], [3899.0, 516.8000000000002], [3899.1000000000004, 523.0], [3899.1000000000004, 533.9000000000001], [3899.0, 538.3000000000002], [3898.8999999999996, 542.5999999999999], [3898.8, 546.8000000000002], [3898.6000000000004, 550.6999999999998], [3898.5, 554.0999999999999], [3898.3999999999996, 555.6999999999998], [3898.3999999999996, 557.0], [3898.3, 558.1999999999998], [3898.3, 559.3000000000002], [3889.8, 568.0999999999999], [3883.0, 563.5], [3876.3999999999996, 559.0], [3863.3, 550.3000000000002], [3847.5, 540.0], [3831.6000000000004, 529.6999999999998], [3815.2, 519.1999999999998], [3798.6000000000004, 509.0999999999999], [3785.3, 501.4000000000001], [3771.7, 494.0999999999999], [3758.8999999999996, 487.5999999999999], [3746.0, 481.5], [3735.3, 476.8000000000002], [3724.3999999999996, 472.5], [3712.8999999999996, 468.5], [3701.2, 464.9000000000001], [3677.2, 457.9000000000001], [3662.0, 453.6999999999998], [3646.7, 450.0], [3632.0, 446.9000000000001], [3617.2, 444.0999999999999], [3602.7, 441.3000000000002], [3588.2, 438.6999999999998], [3573.5, 436.5], [3558.8, 434.6999999999998], [3542.1000000000004, 433.0], [3525.3999999999996, 431.5999999999999], [3508.7, 430.4000000000001], [3491.8999999999996, 429.4000000000001], [3423.0, 425.0999999999999], [3402.6000000000004, 424.0], [3382.2, 423.0], [3360.7, 422.1999999999998], [3339.3, 421.6999999999998], [3296.3, 420.9000000000001], [3248.8999999999996, 419.8000000000002], [3201.6000000000004, 418.6999999999998], [3157.1000000000004, 417.9000000000001], [3134.8, 417.5999999999999], [3112.3, 417.3000000000002], [3088.2, 417.0], [3064.2, 416.6999999999998], [3052.3, 416.5999999999999], [3040.5, 416.4000000000001], [3028.8999999999996, 416.3000000000002], [3017.5, 416.0999999999999], [3005.2, 416.0], [2992.7, 415.8000000000002], [2986.3, 415.6999999999998], [2979.6000000000004, 415.6999999999998], [2972.7, 415.5999999999999], [2965.5, 415.5], [2965.5, 257.8000000000002], [2965.3999999999996, 243.4000000000001], [2965.3999999999996, 154.69999999999982], [2978.5, 154.5], [2991.2, 154.30000000000018], [3003.8, 154.19999999999982], [3016.3999999999996, 154.0999999999999], [3033.7, 154.0], [3051.2, 154.0], [3068.7, 153.9000000000001], [3086.2, 153.69999999999982], [3114.0, 153.0], [3141.6000000000004, 152.19999999999982], [3166.3999999999996, 151.69999999999982], [3191.2, 151.30000000000018], [3220.8999999999996, 150.69999999999982], [3250.6000000000004, 149.9000000000001], [3292.8, 148.5999999999999], [3335.1000000000004, 147.4000000000001], [3363.0, 146.69999999999982], [3376.8999999999996, 146.19999999999982], [3390.8, 145.5999999999999], [3405.5, 144.80000000000018], [3420.3, 143.9000000000001], [3449.7, 142.0], [3476.1000000000004, 140.4000000000001], [3502.3999999999996, 138.80000000000018], [3516.8, 137.9000000000001], [3531.1000000000004, 136.9000000000001], [3545.3999999999996, 135.69999999999982], [3559.7, 134.19999999999982], [3574.1000000000004, 132.4000000000001], [3588.5, 130.5], [3603.2, 128.30000000000018], [3617.8999999999996, 126.0], [3635.8999999999996, 122.80000000000018], [3653.8, 119.40000000000009], [3696.2, 111.0], [3716.3, 106.90000000000009], [3726.3999999999996, 104.69999999999982], [3736.3999999999996, 102.40000000000009], [3746.2, 99.90000000000009], [3756.0, 97.40000000000009], [3775.3999999999996, 91.90000000000009], [3794.6000000000004, 86.40000000000009], [3813.8, 80.80000000000018], [3829.0, 76.09999999999991], [3844.1000000000004, 71.19999999999982], [3860.0, 65.70000000000005], [3875.8999999999996, 60.200000000000045], [3892.2, 54.5], [3900.5, 51.700000000000045], [3908.7, 49.09999999999991], [3919.1000000000004, 46.200000000000045], [3929.3999999999996, 43.40000000000009], [3943.8, 39.59999999999991], [3958.3, 36.0], [3973.6000000000004, 32.5], [3989.0, 29.40000000000009], [3999.8, 27.40000000000009], [4010.6000000000004, 25.700000000000045], [4032.3999999999996, 22.40000000000009], [4046.6000000000004, 20.40000000000009], [4060.7, 18.5], [4075.0, 16.700000000000045], [4089.3, 15.099999999999909], [4102.3, 13.900000000000091], [4115.3, 12.900000000000091], [4128.2, 11.900000000000091], [4141.0, 10.900000000000091], [4151.5, 10.0], [4162.0, 9.200000000000045], [4172.8, 8.200000000000045], [4183.9, 7.2999999999999545], [4184.8, 12.400000000000091], [4185.8, 17.700000000000045], [4186.0, 19.0]]"
L0004,s000009,M0004,"[[202.0, 748.0], [202.0, 838.0], [7.0, 838.0], [7.0, 748.0], [202.0, 748.0]]"
L0004,s000010,M0004,"[[15373.0, 931.0], [15353.0, 931.0], [15343.1, 904.5], [15343.1, 884.5], [15343.9, 883.6], [15344.7, 882.6], [15346.4, 880.4], [15348.3, 878.0], [15350.2, 875.7], [15351.9, 873.6], [15356.7, 867.6], [15358.8, 865.2], [15361.0, 862.8], [15364.1, 859.8], [15366.0, 858.1], [15368.0, 856.5], [15370.9, 854.6], [15374.2, 852.3], [15376.1, 851.3], [15377.9, 850.3], [15380.1, 849.1], [15382.3, 848.1], [15384.1, 847.4], [15385.8, 846.7], [15389.4, 845.6], [15393.1, 844.6], [15397.0, 843.6], [15401.2, 842.8], [15405.4, 842.1], [15410.0, 841.3], [15414.7, 840.7], [15418.8, 840.2], [15427.2, 839.6], [15431.4, 839.4], [15441.4, 839.1], [15457.4, 838.3], [15463.5, 837.9], [15475.6, 837.0], [15484.9, 836.3], [15489.6, 835.8], [15494.2, 835.3], [15501.3, 834.2], [15508.4, 832.9], [15515.4, 831.5], [15518.8, 830.7], [15522.1, 829.8], [15526.5, 828.4], [15530.8, 826.8], [15533.0, 825.9], [15535.3, 825.0], [15537.6, 823.9], [15540.1, 822.8], [15542.1, 821.9], [15544.2, 821.0], [15548.3, 819.0], [15552.5, 817.1], [15554.5, 816.2], [15558.3, 814.4], [15560.0, 813.6], [15561.6, 812.9], [15562.9, 812.3], [15564.1, 811.7], [15565.1, 811.3], [15565.8, 810.9], [15566.3, 810.7], [15586.3, 810.7], [15586.3, 830.7], [15584.8, 923.9], [15554.3, 923.9], [15545.0, 924.0], [15537.2, 924.0], [15529.2, 924.1], [15521.1, 924.1], [15512.9, 924.2], [15468.1, 924.2], [15459.8, 924.1], [15455.9, 924.1], [15451.4, 924.2], [15440.7, 924.5], [15430.1, 925.0], [15419.4, 925.6], [15410.9, 926.2], [15402.5, 927.0], [15388.3, 928.8], [15380.6, 929.9], [15376.8, 930.5], [15373.0, 931.0]]"
