下料批次号,零件号,面料号,零件外轮廓线坐标
L0002,s000001,1,"[[37, 519], [36, 517], [34, 511], [33, 510], [32, 508], [31, 505], [31, 500], [30, 498], [30, 497], [29, 494], [29, 492], [28, 488], [28, 486], [7, 486], [3, 485], [1, 482], [0, 479], [0, 471], [1, 468], [1, 460], [2, 456], [2, 448], [3, 445], [3, 443], [5, 429], [5, 422], [6, 414], [7, 405], [8, 397], [12, 363], [13, 354], [17, 322], [18, 315], [19, 311], [22, 309], [25, 308], [32, 308], [38, 309], [82, 309], [105, 310], [155, 310], [175, 311], [193, 312], [203, 312], [213, 313], [260, 317], [275, 319], [285, 320], [299, 322], [303, 322], [308, 323], [316, 324], [332, 327], [347, 329], [363, 331], [373, 331], [382, 332], [392, 332], [402, 331], [411, 330], [412, 330], [433, 328], [443, 326], [456, 324], [468, 322], [475, 320], [482, 319], [489, 317], [496, 316], [499, 315], [501, 315], [505, 314], [508, 314], [512, 313], [516, 315], [518, 318], [519, 322], [520, 325], [528, 337], [528, 338], [529, 339], [532, 341], [534, 342], [540, 344], [544, 345], [547, 346], [551, 347], [559, 347], [563, 346], [567, 346], [571, 345], [577, 345], [583, 343], [584, 343], [591, 342], [598, 340], [605, 337], [612, 335], [622, 331], [632, 328], [641, 324], [651, 320], [675, 308], [683, 303], [689, 300], [703, 292], [709, 288], [713, 287], [717, 289], [730, 315], [735, 323], [736, 326], [736, 327], [743, 340], [747, 349], [751, 357], [757, 370], [762, 382], [767, 395], [777, 415], [781, 424], [782, 426], [785, 431], [788, 439], [792, 446], [793, 449], [795, 452], [796, 456], [794, 460], [790, 462], [772, 465], [767, 466], [763, 466], [761, 467], [760, 468], [753, 470], [748, 472], [745, 474], [743, 475], [737, 477], [734, 479], [722, 488], [715, 495], [712, 499], [710, 501], [707, 505], [706, 507], [703, 512], [701, 516], [697, 527], [698, 527], [696, 534], [695, 541], [691, 557], [691, 561], [690, 565], [688, 568], [683, 570], [680, 571], [675, 573], [665, 575], [656, 578], [655, 578], [641, 580], [628, 583], [611, 585], [593, 587], [576, 589], [558, 591], [541, 592], [523, 593], [508, 593], [492, 594], [358, 594], [343, 593], [326, 592], [308, 591], [291, 590], [273, 589], [254, 587], [240, 585], [226, 584], [208, 581], [191, 579], [189, 579], [171, 575], [157, 573], [142, 570], [128, 567], [113, 563], [104, 561], [95, 558], [88, 556], [76, 552], [75, 551], [65, 546], [62, 544], [57, 541], [56, 540], [51, 536], [50, 535], [48, 534], [45, 531], [44, 529], [40, 523]]"
L0002,s000002,1,"[[724, 1535], [696, 1537], [677, 1538], [633, 1540], [612, 1542], [590, 1543], [570, 1544], [551, 1546], [532, 1547], [522, 1548], [513, 1548], [501, 1549], [488, 1551], [482, 1551], [475, 1552], [468, 1552], [461, 1553], [458, 1552], [455, 1549], [454, 1546], [454, 1527], [455, 1522], [455, 1515], [457, 1509], [458, 1504], [460, 1498], [462, 1493], [463, 1491], [469, 1481], [472, 1477], [486, 1463], [491, 1460], [497, 1457], [503, 1453], [510, 1450], [512, 1449], [526, 1445], [538, 1441], [550, 1438], [562, 1436], [593, 1429], [627, 1423], [641, 1420], [642, 1420], [657, 1418], [671, 1416], [685, 1415], [698, 1413], [711, 1412], [722, 1411], [733, 1411], [754, 1409], [790, 1408], [820, 1407], [949, 1407], [964, 1408], [981, 1409], [999, 1410], [1016, 1412], [1034, 1414], [1051, 1416], [1069, 1419], [1082, 1421], [1084, 1421], [1097, 1424], [1112, 1427], [1116, 1428], [1119, 1429], [1120, 1430], [1122, 1431], [1128, 1433], [1131, 1436], [1132, 1438], [1134, 1452], [1135, 1458], [1137, 1465], [1139, 1474], [1140, 1477], [1141, 1481], [1147, 1492], [1150, 1497], [1153, 1501], [1154, 1504], [1164, 1514], [1171, 1519], [1186, 1528], [1195, 1532], [1202, 1534], [1206, 1535], [1213, 1536], [1214, 1536], [1220, 1538], [1225, 1538], [1229, 1539], [1236, 1539], [1240, 1540], [1242, 1543], [1242, 1549], [1239, 1555], [1233, 1570], [1230, 1577], [1227, 1583], [1224, 1590], [1222, 1596], [1219, 1599], [1214, 1600], [1190, 1594], [1165, 1588], [1142, 1582], [1119, 1577], [1097, 1573], [1092, 1572], [1065, 1566], [1049, 1563], [1030, 1560], [1006, 1555], [983, 1551], [959, 1548], [935, 1544], [924, 1543], [912, 1541], [902, 1540], [886, 1539], [870, 1537], [855, 1537], [825, 1535], [797, 1535], [767, 1534], [751, 1534], [737, 1535]]"
L0002,s000003,1,"[[401, 44], [418, 40], [434, 37], [452, 33], [473, 29], [502, 22], [532, 16], [536, 17], [540, 21], [543, 30], [550, 30], [563, 29], [584, 29], [591, 28], [602, 27], [604, 27], [614, 26], [637, 24], [648, 22], [660, 20], [669, 19], [678, 17], [686, 16], [691, 15], [695, 14], [699, 15], [702, 18], [706, 27], [709, 35], [714, 45], [717, 52], [718, 55], [723, 66], [729, 77], [742, 101], [756, 125], [764, 139], [772, 152], [773, 154], [782, 169], [786, 175], [787, 179], [785, 184], [779, 190], [776, 195], [770, 207], [770, 208], [769, 213], [766, 230], [765, 237], [765, 253], [764, 263], [764, 278], [763, 282], [758, 285], [750, 286], [741, 286], [724, 288], [709, 288], [695, 289], [680, 289], [666, 290], [647, 290], [630, 289], [611, 289], [592, 288], [568, 286], [544, 285], [524, 284], [504, 282], [487, 281], [471, 280], [453, 279], [435, 277], [360, 272], [353, 272], [345, 271], [8, 271], [4, 270], [1, 266], [1, 249], [0, 48], [0, 10], [1, 6], [4, 4], [7, 3], [49, 0], [57, 0], [61, 1], [69, 1], [72, 2], [81, 2], [84, 3], [91, 3], [96, 4], [101, 4], [106, 5], [112, 5], [124, 7], [129, 7], [141, 8], [142, 8], [155, 10], [181, 12], [194, 14], [200, 14], [212, 16], [217, 16], [222, 17], [229, 17], [233, 18], [238, 18], [242, 19], [249, 19], [252, 20], [260, 20], [263, 21], [265, 21], [269, 22], [272, 27], [276, 51], [285, 51], [290, 52], [299, 52], [309, 53], [344, 53], [358, 51], [363, 51], [371, 49], [380, 48], [390, 46], [393, 45]]"
L0002,s000004,1,"[[143, 1244], [114, 1237], [86, 1230], [83, 1229], [57, 1222], [49, 1220], [48, 1220], [40, 1217], [32, 1215], [25, 1213], [20, 1211], [16, 1210], [14, 1209], [9, 1207], [7, 1206], [4, 1205], [1, 1203], [0, 1197], [3, 1185], [4, 1184], [5, 1182], [7, 1172], [22, 1122], [24, 1113], [25, 1111], [27, 1106], [27, 1104], [28, 1099], [30, 1091], [34, 1083], [33, 1083], [34, 1079], [34, 1078], [35, 1075], [36, 1073], [37, 1070], [37, 1069], [38, 1066], [40, 1061], [41, 1058], [42, 1057], [46, 1055], [50, 1056], [85, 1070], [87, 1070], [90, 1071], [91, 1071], [94, 1072], [98, 1072], [101, 1073], [124, 1077], [152, 1081], [162, 1082], [171, 1083], [178, 1084], [179, 1084], [191, 1086], [202, 1087], [214, 1088], [230, 1090], [278, 1093], [291, 1094], [335, 1094], [354, 1093], [373, 1093], [391, 1092], [400, 1091], [410, 1090], [429, 1089], [443, 1087], [458, 1086], [483, 1083], [491, 1081], [495, 1081], [499, 1085], [503, 1093], [504, 1098], [502, 1106], [501, 1113], [499, 1122], [498, 1127], [497, 1131], [497, 1158], [500, 1172], [501, 1175], [502, 1179], [504, 1183], [507, 1188], [511, 1193], [513, 1197], [516, 1202], [518, 1203], [519, 1205], [523, 1209], [531, 1215], [539, 1222], [545, 1227], [560, 1237], [569, 1244], [579, 1250], [587, 1256], [594, 1260], [600, 1264], [606, 1269], [613, 1274], [616, 1278], [616, 1290], [615, 1294], [612, 1296], [609, 1297], [594, 1297], [586, 1298], [561, 1298], [544, 1299], [465, 1299], [453, 1298], [440, 1298], [428, 1297], [415, 1296], [401, 1295], [387, 1293], [373, 1292], [372, 1292], [353, 1289], [334, 1287], [311, 1283], [288, 1278], [273, 1275], [245, 1269], [217, 1261], [211, 1260], [210, 1260], [201, 1257], [186, 1254], [172, 1250], [171, 1250]]"
L0002,s000005,1,"[[843, 400], [838, 400], [835, 399], [827, 397], [821, 395], [809, 389], [804, 386], [802, 385], [796, 381], [789, 374], [788, 372], [786, 370], [785, 368], [783, 366], [780, 362], [777, 356], [777, 355], [775, 353], [773, 350], [771, 342], [769, 336], [768, 330], [766, 321], [766, 276], [767, 272], [767, 261], [768, 252], [768, 250], [769, 240], [769, 239], [770, 234], [771, 228], [771, 224], [773, 214], [774, 210], [775, 205], [776, 202], [777, 198], [778, 195], [780, 192], [784, 184], [784, 183], [790, 175], [792, 172], [802, 162], [806, 159], [807, 158], [817, 152], [827, 147], [830, 146], [835, 145], [841, 143], [845, 143], [853, 141], [878, 141], [896, 143], [901, 143], [931, 147], [932, 147], [938, 148], [945, 149], [957, 151], [960, 151], [965, 152], [968, 152], [971, 153], [973, 153], [976, 154], [981, 154], [1001, 158], [1005, 160], [1007, 164], [1007, 166], [987, 281], [991, 343], [994, 395], [993, 399], [990, 401], [987, 402], [966, 403], [889, 403], [877, 402], [858, 402], [852, 401], [848, 401]]"
L0002,s000006,1,"[[856, 1210], [861, 1211], [865, 1212], [869, 1212], [872, 1213], [875, 1213], [877, 1214], [882, 1214], [886, 1215], [889, 1220], [893, 1244], [894, 1244], [901, 1245], [916, 1245], [926, 1246], [961, 1246], [973, 1244], [982, 1243], [990, 1242], [999, 1240], [1007, 1238], [1009, 1238], [1024, 1234], [1052, 1228], [1067, 1224], [1078, 1222], [1087, 1220], [1095, 1219], [1105, 1217], [1106, 1217], [1116, 1216], [1127, 1215], [1133, 1214], [1140, 1214], [1143, 1213], [1149, 1213], [1153, 1214], [1156, 1219], [1158, 1235], [1157, 1239], [1155, 1242], [1145, 1248], [1133, 1257], [1122, 1268], [1120, 1272], [1116, 1277], [1113, 1283], [1110, 1288], [1109, 1292], [1107, 1297], [1106, 1301], [1104, 1305], [1104, 1309], [1103, 1313], [1103, 1319], [1104, 1322], [1104, 1327], [1105, 1332], [1106, 1336], [1107, 1341], [1110, 1350], [1111, 1352], [1112, 1357], [1113, 1359], [1114, 1364], [1112, 1372], [1110, 1375], [1106, 1377], [1074, 1381], [1056, 1383], [1038, 1384], [1027, 1385], [1017, 1386], [1010, 1387], [1002, 1388], [982, 1390], [972, 1392], [962, 1393], [935, 1397], [914, 1400], [891, 1402], [863, 1404], [846, 1406], [812, 1408], [794, 1409], [760, 1410], [740, 1410], [720, 1411], [634, 1411], [627, 1410], [620, 1410], [616, 1408], [614, 1403], [614, 1338], [615, 1321], [615, 1300], [617, 1280], [619, 1242], [619, 1241], [620, 1228], [621, 1214], [622, 1198], [624, 1182], [625, 1178], [628, 1176], [631, 1175], [671, 1174], [676, 1174], [679, 1175], [681, 1175], [683, 1176], [687, 1176], [689, 1177], [693, 1177], [705, 1180], [710, 1181], [711, 1181], [714, 1182], [732, 1185], [739, 1187], [745, 1188], [752, 1189], [759, 1191], [774, 1194], [802, 1200], [809, 1201], [816, 1203], [823, 1204], [835, 1206], [836, 1206], [842, 1208], [852, 1210]]"
L0002,s000007,1,"[[998, 937], [989, 936], [920, 936], [916, 935], [913, 930], [901, 841], [901, 838], [923, 750], [925, 747], [929, 745], [931, 745], [949, 748], [953, 748], [956, 749], [957, 749], [960, 750], [965, 750], [967, 751], [972, 752], [977, 752], [981, 753], [986, 754], [987, 754], [990, 755], [1006, 755], [1010, 754], [1015, 753], [1020, 753], [1023, 752], [1024, 752], [1049, 748], [1053, 749], [1056, 751], [1057, 755], [1050, 880], [1047, 936], [1046, 940], [1042, 943], [1039, 943], [1017, 940], [1015, 939], [1009, 939], [1005, 938], [1002, 938]]"
L0002,s000008,1,"[[514, 825], [512, 826], [502, 836], [501, 838], [499, 841], [497, 847], [496, 849], [495, 852], [492, 855], [487, 856], [483, 855], [481, 855], [473, 854], [466, 853], [464, 853], [457, 851], [447, 850], [437, 848], [426, 846], [415, 845], [402, 843], [395, 842], [389, 841], [379, 840], [369, 840], [345, 838], [332, 837], [305, 837], [290, 838], [273, 838], [255, 839], [203, 843], [187, 844], [178, 845], [170, 846], [153, 848], [137, 850], [124, 852], [123, 852], [113, 853], [100, 856], [87, 858], [47, 870], [43, 870], [39, 867], [38, 865], [34, 847], [31, 830], [27, 813], [26, 805], [24, 796], [21, 783], [15, 758], [12, 745], [9, 733], [7, 727], [6, 721], [7, 721], [5, 717], [4, 714], [4, 713], [3, 710], [2, 705], [0, 700], [0, 696], [2, 693], [5, 691], [12, 689], [19, 688], [25, 686], [33, 684], [40, 682], [48, 680], [55, 678], [79, 672], [82, 671], [95, 667], [112, 663], [128, 659], [141, 656], [155, 653], [182, 646], [198, 642], [211, 639], [214, 638], [230, 634], [247, 630], [267, 625], [288, 621], [310, 617], [333, 612], [338, 612], [369, 606], [386, 604], [404, 601], [438, 597], [458, 595], [467, 594], [477, 593], [486, 592], [495, 592], [513, 591], [530, 591], [547, 590], [609, 590], [613, 591], [615, 594], [616, 596], [617, 604], [631, 618], [636, 624], [637, 625], [642, 632], [645, 636], [645, 637], [647, 640], [650, 644], [650, 645], [658, 665], [659, 668], [660, 672], [661, 674], [662, 679], [662, 682], [663, 685], [663, 699], [662, 709], [662, 711], [661, 715], [661, 719], [660, 724], [659, 726], [653, 741], [647, 753], [646, 754], [641, 760], [638, 764], [635, 767], [632, 771], [631, 773], [627, 776], [622, 781], [617, 785], [603, 793], [602, 793], [600, 794], [594, 798], [593, 798], [583, 802], [567, 808], [553, 812], [540, 816], [539, 817], [530, 819], [515, 824]]"
L0002,s000009,1,"[[976, 1216], [971, 1215], [962, 1214], [957, 1214], [953, 1213], [874, 1213], [870, 1212], [868, 1209], [867, 1206], [859, 1087], [859, 1086], [881, 964], [883, 960], [886, 958], [889, 958], [908, 961], [913, 961], [916, 962], [923, 963], [926, 963], [929, 964], [930, 964], [932, 965], [941, 966], [949, 967], [950, 967], [953, 968], [959, 968], [962, 969], [966, 970], [984, 970], [990, 969], [996, 969], [1001, 968], [1007, 968], [1031, 965], [1035, 966], [1037, 969], [1038, 972], [1027, 1152], [1023, 1216], [1022, 1220], [1018, 1223], [1015, 1223], [993, 1219], [991, 1218], [987, 1218], [983, 1217], [980, 1217]]"
L0002,s000010,1,"[[901, 702], [900, 698], [898, 693], [897, 687], [896, 682], [895, 675], [895, 629], [896, 625], [897, 619], [898, 616], [898, 613], [899, 610], [901, 607], [902, 604], [903, 602], [904, 599], [906, 596], [906, 595], [909, 591], [912, 586], [914, 583], [916, 581], [919, 579], [921, 577], [927, 573], [928, 572], [931, 570], [934, 569], [935, 568], [937, 567], [941, 566], [942, 565], [944, 564], [947, 563], [951, 562], [955, 562], [958, 561], [962, 561], [964, 560], [970, 560], [975, 559], [1061, 559], [1065, 560], [1067, 563], [1068, 567], [1060, 625], [1056, 649], [1076, 730], [1076, 734], [1073, 738], [1070, 739], [1049, 742], [1043, 743], [1039, 744], [1034, 745], [1025, 746], [1009, 749], [991, 751], [969, 751], [957, 749], [949, 747], [947, 746], [937, 742], [936, 742], [924, 734], [916, 726], [913, 722], [912, 721], [908, 715], [902, 703]]"
