下料批次号,零件号,面料号,零件外轮廓线坐标
L0002,s000001,1,"[[37, 519], [36, 517], [34, 511], [33, 510], [32, 508], [31, 505], [31, 500], [30, 498], [30, 497], [29, 494], [29, 492], [28, 488], [28, 486], [7, 486], [3, 485], [1, 482], [0, 479], [0, 471], [1, 468], [1, 460], [2, 456], [2, 448], [3, 445], [3, 443], [5, 429], [5, 422], [6, 414], [7, 405], [8, 397], [12, 363], [13, 354], [17, 322], [18, 315], [19, 311], [22, 309], [25, 308], [32, 308], [38, 309], [82, 309], [105, 310], [155, 310], [175, 311], [193, 312], [203, 312], [213, 313], [260, 317], [275, 319], [285, 320], [299, 322], [303, 322], [308, 323], [316, 324], [332, 327], [347, 329], [363, 331], [373, 331], [382, 332], [392, 332], [402, 331], [411, 330], [412, 330], [433, 328], [443, 326], [456, 324], [468, 322], [475, 320], [482, 319], [489, 317], [496, 316], [499, 315], [501, 315], [505, 314], [508, 314], [512, 313], [516, 315], [518, 318], [519, 322], [520, 325], [528, 337], [528, 338], [529, 339], [532, 341], [534, 342], [540, 344], [544, 345], [547, 346], [551, 347], [559, 347], [563, 346], [567, 346], [571, 345], [577, 345], [583, 343], [584, 343], [591, 342], [598, 340], [605, 337], [612, 335], [622, 331], [632, 328], [641, 324], [651, 320], [675, 308], [683, 303], [689, 300], [703, 292], [709, 288], [713, 287], [717, 289], [730, 315], [735, 323], [736, 326], [736, 327], [743, 340], [747, 349], [751, 357], [757, 370], [762, 382], [767, 395], [777, 415], [781, 424], [782, 426], [785, 431], [788, 439], [792, 446], [793, 449], [795, 452], [796, 456], [794, 460], [790, 462], [772, 465], [767, 466], [763, 466], [761, 467], [760, 468], [753, 470], [748, 472], [745, 474], [743, 475], [737, 477], [734, 479], [722, 488], [715, 495], [712, 499], [710, 501], [707, 505], [706, 507], [703, 512], [701, 516], [697, 527], [698, 527], [696, 534], [695, 541], [691, 557], [691, 561], [690, 565], [688, 568], [683, 570], [680, 571], [675, 573], [665, 575], [656, 578], [655, 578], [641, 580], [628, 583], [611, 585], [593, 587], [576, 589], [558, 591], [541, 592], [523, 593], [508, 593], [492, 594], [358, 594], [343, 593], [326, 592], [308, 591], [291, 590], [273, 589], [254, 587], [240, 585], [226, 584], [208, 581], [191, 579], [189, 579], [171, 575], [157, 573], [142, 570], [128, 567], [113, 563], [104, 561], [95, 558], [88, 556], [76, 552], [75, 551], [65, 546], [62, 544], [57, 541], [56, 540], [51, 536], [50, 535], [48, 534], [45, 531], [44, 529], [40, 523]]"
L0002,s000002,1,"[[785, 1088], [757, 1090], [738, 1091], [694, 1093], [673, 1095], [651, 1096], [631, 1097], [612, 1099], [593, 1100], [583, 1101], [574, 1101], [562, 1102], [549, 1104], [543, 1104], [536, 1105], [529, 1105], [522, 1106], [519, 1105], [516, 1102], [515, 1099], [515, 1080], [516, 1075], [516, 1068], [518, 1062], [519, 1057], [521, 1051], [523, 1046], [524, 1044], [530, 1034], [533, 1030], [547, 1016], [552, 1013], [558, 1010], [564, 1006], [571, 1003], [573, 1002], [587, 998], [599, 994], [611, 991], [623, 989], [654, 982], [688, 976], [702, 973], [703, 973], [718, 971], [732, 969], [746, 968], [759, 966], [772, 965], [783, 964], [794, 964], [815, 962], [851, 961], [881, 960], [1010, 960], [1025, 961], [1042, 962], [1060, 963], [1077, 965], [1095, 967], [1112, 969], [1130, 972], [1143, 974], [1145, 974], [1158, 977], [1173, 980], [1177, 981], [1180, 982], [1181, 983], [1183, 984], [1189, 986], [1192, 989], [1193, 991], [1195, 1005], [1196, 1011], [1198, 1018], [1200, 1027], [1201, 1030], [1202, 1034], [1208, 1045], [1211, 1050], [1214, 1054], [1215, 1057], [1225, 1067], [1232, 1072], [1247, 1081], [1256, 1085], [1263, 1087], [1267, 1088], [1274, 1089], [1275, 1089], [1281, 1091], [1286, 1091], [1290, 1092], [1297, 1092], [1301, 1093], [1303, 1096], [1303, 1102], [1300, 1108], [1294, 1123], [1291, 1130], [1288, 1136], [1285, 1143], [1283, 1149], [1280, 1152], [1275, 1153], [1251, 1147], [1226, 1141], [1203, 1135], [1180, 1130], [1158, 1126], [1153, 1125], [1126, 1119], [1110, 1116], [1091, 1113], [1067, 1108], [1044, 1104], [1020, 1101], [996, 1097], [985, 1096], [973, 1094], [963, 1093], [947, 1092], [931, 1090], [916, 1090], [886, 1088], [858, 1088], [828, 1087], [812, 1087], [798, 1088]]"
L0002,s000003,1,"[[401, 44], [418, 40], [434, 37], [452, 33], [473, 29], [502, 22], [532, 16], [536, 17], [540, 21], [543, 30], [550, 30], [563, 29], [584, 29], [591, 28], [602, 27], [604, 27], [614, 26], [637, 24], [648, 22], [660, 20], [669, 19], [678, 17], [686, 16], [691, 15], [695, 14], [699, 15], [702, 18], [706, 27], [709, 35], [714, 45], [717, 52], [718, 55], [723, 66], [729, 77], [742, 101], [756, 125], [764, 139], [772, 152], [773, 154], [782, 169], [786, 175], [787, 179], [785, 184], [779, 190], [776, 195], [770, 207], [770, 208], [769, 213], [766, 230], [765, 237], [765, 253], [764, 263], [764, 278], [763, 282], [758, 285], [750, 286], [741, 286], [724, 288], [709, 288], [695, 289], [680, 289], [666, 290], [647, 290], [630, 289], [611, 289], [592, 288], [568, 286], [544, 285], [524, 284], [504, 282], [487, 281], [471, 280], [453, 279], [435, 277], [360, 272], [353, 272], [345, 271], [8, 271], [4, 270], [1, 266], [1, 249], [0, 48], [0, 10], [1, 6], [4, 4], [7, 3], [49, 0], [57, 0], [61, 1], [69, 1], [72, 2], [81, 2], [84, 3], [91, 3], [96, 4], [101, 4], [106, 5], [112, 5], [124, 7], [129, 7], [141, 8], [142, 8], [155, 10], [181, 12], [194, 14], [200, 14], [212, 16], [217, 16], [222, 17], [229, 17], [233, 18], [238, 18], [242, 19], [249, 19], [252, 20], [260, 20], [263, 21], [265, 21], [269, 22], [272, 27], [276, 51], [285, 51], [290, 52], [299, 52], [309, 53], [344, 53], [358, 51], [363, 51], [371, 49], [380, 48], [390, 46], [393, 45]]"
L0002,s000004,1,"[[143, 1491], [114, 1484], [86, 1477], [83, 1476], [57, 1469], [49, 1467], [48, 1467], [40, 1464], [32, 1462], [25, 1460], [20, 1458], [16, 1457], [14, 1456], [9, 1454], [7, 1453], [4, 1452], [1, 1450], [0, 1444], [3, 1432], [4, 1431], [5, 1429], [7, 1419], [22, 1369], [24, 1360], [25, 1358], [27, 1353], [27, 1351], [28, 1346], [30, 1338], [34, 1330], [33, 1330], [34, 1326], [34, 1325], [35, 1322], [36, 1320], [37, 1317], [37, 1316], [38, 1313], [40, 1308], [41, 1305], [42, 1304], [46, 1302], [50, 1303], [85, 1317], [87, 1317], [90, 1318], [91, 1318], [94, 1319], [98, 1319], [101, 1320], [124, 1324], [152, 1328], [162, 1329], [171, 1330], [178, 1331], [179, 1331], [191, 1333], [202, 1334], [214, 1335], [230, 1337], [278, 1340], [291, 1341], [335, 1341], [354, 1340], [373, 1340], [391, 1339], [400, 1338], [410, 1337], [429, 1336], [443, 1334], [458, 1333], [483, 1330], [491, 1328], [495, 1328], [499, 1332], [503, 1340], [504, 1345], [502, 1353], [501, 1360], [499, 1369], [498, 1374], [497, 1378], [497, 1405], [500, 1419], [501, 1422], [502, 1426], [504, 1430], [507, 1435], [511, 1440], [513, 1444], [516, 1449], [518, 1450], [519, 1452], [523, 1456], [531, 1462], [539, 1469], [545, 1474], [560, 1484], [569, 1491], [579, 1497], [587, 1503], [594, 1507], [600, 1511], [606, 1516], [613, 1521], [616, 1525], [616, 1537], [615, 1541], [612, 1543], [609, 1544], [594, 1544], [586, 1545], [561, 1545], [544, 1546], [465, 1546], [453, 1545], [440, 1545], [428, 1544], [415, 1543], [401, 1542], [387, 1540], [373, 1539], [372, 1539], [353, 1536], [334, 1534], [311, 1530], [288, 1525], [273, 1522], [245, 1516], [217, 1508], [211, 1507], [210, 1507], [201, 1504], [186, 1501], [172, 1497], [171, 1497]]"
L0002,s000005,1,"[[843, 959], [838, 959], [835, 958], [827, 956], [821, 954], [809, 948], [804, 945], [802, 944], [796, 940], [789, 933], [788, 931], [786, 929], [785, 927], [783, 925], [780, 921], [777, 915], [777, 914], [775, 912], [773, 909], [771, 901], [769, 895], [768, 889], [766, 880], [766, 835], [767, 831], [767, 820], [768, 811], [768, 809], [769, 799], [769, 798], [770, 793], [771, 787], [771, 783], [773, 773], [774, 769], [775, 764], [776, 761], [777, 757], [778, 754], [780, 751], [784, 743], [784, 742], [790, 734], [792, 731], [802, 721], [806, 718], [807, 717], [817, 711], [827, 706], [830, 705], [835, 704], [841, 702], [845, 702], [853, 700], [878, 700], [896, 702], [901, 702], [931, 706], [932, 706], [938, 707], [945, 708], [957, 710], [960, 710], [965, 711], [968, 711], [971, 712], [973, 712], [976, 713], [981, 713], [1001, 717], [1005, 719], [1007, 723], [1007, 725], [987, 840], [991, 902], [994, 954], [993, 958], [990, 960], [987, 961], [966, 962], [889, 962], [877, 961], [858, 961], [852, 960], [848, 960]]"
L0002,s000006,1,"[[745, 1234], [750, 1235], [754, 1236], [758, 1236], [761, 1237], [764, 1237], [766, 1238], [771, 1238], [775, 1239], [778, 1244], [782, 1268], [783, 1268], [790, 1269], [805, 1269], [815, 1270], [850, 1270], [862, 1268], [871, 1267], [879, 1266], [888, 1264], [896, 1262], [898, 1262], [913, 1258], [941, 1252], [956, 1248], [967, 1246], [976, 1244], [984, 1243], [994, 1241], [995, 1241], [1005, 1240], [1016, 1239], [1022, 1238], [1029, 1238], [1032, 1237], [1038, 1237], [1042, 1238], [1045, 1243], [1047, 1259], [1046, 1263], [1044, 1266], [1034, 1272], [1022, 1281], [1011, 1292], [1009, 1296], [1005, 1301], [1002, 1307], [999, 1312], [998, 1316], [996, 1321], [995, 1325], [993, 1329], [993, 1333], [992, 1337], [992, 1343], [993, 1346], [993, 1351], [994, 1356], [995, 1360], [996, 1365], [999, 1374], [1000, 1376], [1001, 1381], [1002, 1383], [1003, 1388], [1001, 1396], [999, 1399], [995, 1401], [963, 1405], [945, 1407], [927, 1408], [916, 1409], [906, 1410], [899, 1411], [891, 1412], [871, 1414], [861, 1416], [851, 1417], [824, 1421], [803, 1424], [780, 1426], [752, 1428], [735, 1430], [701, 1432], [683, 1433], [649, 1434], [629, 1434], [609, 1435], [523, 1435], [516, 1434], [509, 1434], [505, 1432], [503, 1427], [503, 1362], [504, 1345], [504, 1324], [506, 1304], [508, 1266], [508, 1265], [509, 1252], [510, 1238], [511, 1222], [513, 1206], [514, 1202], [517, 1200], [520, 1199], [560, 1198], [565, 1198], [568, 1199], [570, 1199], [572, 1200], [576, 1200], [578, 1201], [582, 1201], [594, 1204], [599, 1205], [600, 1205], [603, 1206], [621, 1209], [628, 1211], [634, 1212], [641, 1213], [648, 1215], [663, 1218], [691, 1224], [698, 1225], [705, 1227], [712, 1228], [724, 1230], [725, 1230], [731, 1232], [741, 1234]]"
L0002,s000007,1,"[[1016, 453], [1007, 452], [938, 452], [934, 451], [931, 446], [919, 357], [919, 354], [941, 266], [943, 263], [947, 261], [949, 261], [967, 264], [971, 264], [974, 265], [975, 265], [978, 266], [983, 266], [985, 267], [990, 268], [995, 268], [999, 269], [1004, 270], [1005, 270], [1008, 271], [1024, 271], [1028, 270], [1033, 269], [1038, 269], [1041, 268], [1042, 268], [1067, 264], [1071, 265], [1074, 267], [1075, 271], [1068, 396], [1065, 452], [1064, 456], [1060, 459], [1057, 459], [1035, 456], [1033, 455], [1027, 455], [1023, 454], [1020, 454]]"
L0002,s000008,1,"[[514, 1022], [512, 1023], [502, 1033], [501, 1035], [499, 1038], [497, 1044], [496, 1046], [495, 1049], [492, 1052], [487, 1053], [483, 1052], [481, 1052], [473, 1051], [466, 1050], [464, 1050], [457, 1048], [447, 1047], [437, 1045], [426, 1043], [415, 1042], [402, 1040], [395, 1039], [389, 1038], [379, 1037], [369, 1037], [345, 1035], [332, 1034], [305, 1034], [290, 1035], [273, 1035], [255, 1036], [203, 1040], [187, 1041], [178, 1042], [170, 1043], [153, 1045], [137, 1047], [124, 1049], [123, 1049], [113, 1050], [100, 1053], [87, 1055], [47, 1067], [43, 1067], [39, 1064], [38, 1062], [34, 1044], [31, 1027], [27, 1010], [26, 1002], [24, 993], [21, 980], [15, 955], [12, 942], [9, 930], [7, 924], [6, 918], [7, 918], [5, 914], [4, 911], [4, 910], [3, 907], [2, 902], [0, 897], [0, 893], [2, 890], [5, 888], [12, 886], [19, 885], [25, 883], [33, 881], [40, 879], [48, 877], [55, 875], [79, 869], [82, 868], [95, 864], [112, 860], [128, 856], [141, 853], [155, 850], [182, 843], [198, 839], [211, 836], [214, 835], [230, 831], [247, 827], [267, 822], [288, 818], [310, 814], [333, 809], [338, 809], [369, 803], [386, 801], [404, 798], [438, 794], [458, 792], [467, 791], [477, 790], [486, 789], [495, 789], [513, 788], [530, 788], [547, 787], [609, 787], [613, 788], [615, 791], [616, 793], [617, 801], [631, 815], [636, 821], [637, 822], [642, 829], [645, 833], [645, 834], [647, 837], [650, 841], [650, 842], [658, 862], [659, 865], [660, 869], [661, 871], [662, 876], [662, 879], [663, 882], [663, 896], [662, 906], [662, 908], [661, 912], [661, 916], [660, 921], [659, 923], [653, 938], [647, 950], [646, 951], [641, 957], [638, 961], [635, 964], [632, 968], [631, 970], [627, 973], [622, 978], [617, 982], [603, 990], [602, 990], [600, 991], [594, 995], [593, 995], [583, 999], [567, 1005], [553, 1009], [540, 1013], [539, 1014], [530, 1016], [515, 1021]]"
L0002,s000009,1,"[[1024, 710], [1019, 709], [1010, 708], [1005, 708], [1001, 707], [922, 707], [918, 706], [916, 703], [915, 700], [907, 581], [907, 580], [929, 458], [931, 454], [934, 452], [937, 452], [956, 455], [961, 455], [964, 456], [971, 457], [974, 457], [977, 458], [978, 458], [980, 459], [989, 460], [997, 461], [998, 461], [1001, 462], [1007, 462], [1010, 463], [1014, 464], [1032, 464], [1038, 463], [1044, 463], [1049, 462], [1055, 462], [1079, 459], [1083, 460], [1085, 463], [1086, 466], [1075, 646], [1071, 710], [1070, 714], [1066, 717], [1063, 717], [1041, 713], [1039, 712], [1035, 712], [1031, 711], [1028, 711]]"
L0002,s000010,1,"[[856, 1551], [855, 1547], [853, 1542], [852, 1536], [851, 1531], [850, 1524], [850, 1478], [851, 1474], [852, 1468], [853, 1465], [853, 1462], [854, 1459], [856, 1456], [857, 1453], [858, 1451], [859, 1448], [861, 1445], [861, 1444], [864, 1440], [867, 1435], [869, 1432], [871, 1430], [874, 1428], [876, 1426], [882, 1422], [883, 1421], [886, 1419], [889, 1418], [890, 1417], [892, 1416], [896, 1415], [897, 1414], [899, 1413], [902, 1412], [906, 1411], [910, 1411], [913, 1410], [917, 1410], [919, 1409], [925, 1409], [930, 1408], [1016, 1408], [1020, 1409], [1022, 1412], [1023, 1416], [1015, 1474], [1011, 1498], [1031, 1579], [1031, 1583], [1028, 1587], [1025, 1588], [1004, 1591], [998, 1592], [994, 1593], [989, 1594], [980, 1595], [964, 1598], [946, 1600], [924, 1600], [912, 1598], [904, 1596], [902, 1595], [892, 1591], [891, 1591], [879, 1583], [871, 1575], [868, 1571], [867, 1570], [863, 1564], [857, 1552]]"
