下料批次号,零件号,面料号,零件外轮廓线坐标
L0005,s000001,M0005,"[[2239, 1521], [2241, 1524], [2242, 1527], [2242, 1591], [2241, 1595], [2238, 1597], [2235, 1598], [1472, 1598], [1468, 1597], [1466, 1594], [1465, 1591], [1465, 1527], [1466, 1523], [1469, 1521], [1472, 1520], [2235, 1520]]"
L0005,s000002,M0005,"[[15698, 1497], [15702, 1498], [15704, 1501], [15705, 1504], [15705, 1566], [15704, 1570], [15701, 1572], [15698, 1573], [14959, 1574], [14955, 1573], [14953, 1570], [14952, 1567], [14952, 1503], [14953, 1499], [14956, 1497], [14959, 1496]]"
L0005,s000003,M0005,"[[445, 395], [449, 396], [452, 399], [452, 402], [453, 442], [452, 446], [449, 448], [446, 449], [404, 451], [399, 449], [377, 428], [375, 425], [375, 420], [399, 396], [404, 394]]"
L0005,s000004,M0005,"[[14269, 1105], [14322, 1105], [14350, 1104], [14408, 1102], [14411, 1102], [14445, 1100], [14495, 1097], [14497, 1097], [14536, 1095], [14540, 1096], [14542, 1099], [14542, 1105], [14540, 1110], [14513, 1189], [14513, 1190], [14510, 1231], [14509, 1234], [14505, 1237], [14319, 1237], [14312, 1236], [14281, 1236], [14273, 1235], [14250, 1235], [14243, 1234], [14234, 1234], [14228, 1233], [14220, 1233], [14212, 1232], [14204, 1232], [14198, 1231], [14189, 1231], [14182, 1230], [14170, 1229], [14159, 1228], [14155, 1227], [14146, 1226], [14139, 1225], [14131, 1225], [14124, 1224], [14119, 1223], [14116, 1223], [14097, 1220], [14082, 1218], [14079, 1216], [14078, 1215], [14073, 1214], [14063, 1213], [14054, 1211], [14046, 1210], [14041, 1210], [14035, 1209], [14026, 1208], [14017, 1206], [14016, 1206], [14007, 1205], [14006, 1205], [14003, 1204], [13999, 1203], [13995, 1203], [13992, 1202], [13982, 1200], [13976, 1199], [13975, 1199], [13969, 1197], [13942, 1191], [13938, 1190], [13937, 1190], [13933, 1189], [13930, 1188], [13925, 1186], [13917, 1184], [13883, 1174], [13879, 1173], [13876, 1172], [13871, 1171], [13869, 1170], [13866, 1169], [13861, 1168], [13855, 1165], [13852, 1164], [13847, 1163], [13845, 1162], [13840, 1160], [13838, 1159], [13833, 1158], [13829, 1156], [13826, 1155], [13822, 1153], [13816, 1151], [13808, 1147], [13805, 1146], [13799, 1143], [13794, 1141], [13788, 1138], [13787, 1137], [13779, 1133], [13778, 1132], [13774, 1130], [13773, 1129], [13769, 1127], [13768, 1126], [13766, 1125], [13763, 1122], [13759, 1120], [13758, 1119], [13758, 1118], [13756, 1117], [13749, 1110], [13745, 1104], [13743, 1100], [13742, 1099], [13740, 1096], [13739, 1093], [13738, 1092], [13736, 1084], [13736, 1083], [13735, 1079], [13735, 1054], [13736, 1052], [13736, 1047], [13737, 1044], [13737, 1041], [13738, 1038], [13738, 1037], [13739, 1034], [13740, 1032], [13743, 1029], [13747, 1028], [13780, 1034], [13782, 1035], [13783, 1035], [13799, 1038], [13800, 1039], [13802, 1038], [13888, 1055], [13979, 1071], [13981, 1072], [13982, 1072], [14029, 1080], [14127, 1094], [14152, 1097], [14175, 1099], [14177, 1100], [14209, 1102], [14242, 1104], [14245, 1104]]"
L0005,s000005,M0005,"[[1983, 719], [1987, 722], [1988, 727], [1986, 742], [1986, 743], [1985, 745], [1986, 748], [1986, 749], [1988, 763], [1987, 767], [1983, 771], [1920, 794], [1916, 794], [1914, 793], [1884, 772], [1881, 769], [1881, 765], [1882, 762], [1893, 746], [1882, 729], [1881, 725], [1882, 721], [1884, 719], [1914, 698], [1918, 697], [1920, 697]]"
L0005,s000006,M0005,"[[7723, 631], [7725, 634], [7726, 637], [7726, 718], [7725, 722], [7722, 724], [7719, 725], [7543, 725], [7539, 724], [7537, 721], [7536, 718], [7536, 637], [7537, 633], [7540, 631], [7543, 630], [7719, 630]]"
L0005,s000007,M0005,"[[12726, 1198], [12726, 1200], [12727, 1203], [12727, 1205], [12728, 1208], [12728, 1210], [12730, 1213], [12731, 1216], [12732, 1218], [12733, 1219], [12733, 1220], [12739, 1226], [12740, 1226], [12743, 1229], [12745, 1230], [12746, 1231], [12756, 1236], [12758, 1236], [12762, 1237], [12763, 1238], [12764, 1238], [12767, 1239], [12771, 1239], [12774, 1240], [12775, 1240], [12793, 1242], [12796, 1242], [12817, 1243], [12839, 1243], [12870, 1241], [12872, 1241], [12905, 1237], [12939, 1234], [13006, 1225], [13010, 1226], [13014, 1230], [13027, 1287], [13027, 1291], [13024, 1295], [13020, 1296], [12977, 1298], [12952, 1364], [12945, 1396], [12943, 1400], [12938, 1402], [12781, 1402], [12715, 1400], [12660, 1395], [12613, 1390], [12581, 1386], [12577, 1385], [12575, 1383], [12516, 1377], [12448, 1369], [12447, 1369], [12443, 1368], [12437, 1367], [12433, 1367], [12427, 1366], [12417, 1364], [12411, 1364], [12406, 1363], [12400, 1362], [12395, 1361], [12389, 1360], [12384, 1359], [12380, 1358], [12379, 1358], [12373, 1357], [12363, 1355], [12357, 1354], [12352, 1353], [12348, 1353], [12345, 1352], [12335, 1350], [12333, 1350], [12329, 1349], [12324, 1348], [12319, 1346], [12317, 1346], [12313, 1345], [12308, 1343], [12303, 1342], [12298, 1340], [12296, 1340], [12292, 1339], [12282, 1335], [12277, 1334], [12274, 1333], [12273, 1332], [12271, 1331], [12265, 1329], [12263, 1328], [12262, 1328], [12258, 1327], [12250, 1323], [12247, 1322], [12233, 1315], [12230, 1312], [12222, 1308], [12219, 1305], [12217, 1304], [12215, 1302], [12213, 1301], [12211, 1299], [12210, 1299], [12208, 1296], [12206, 1294], [12205, 1292], [12203, 1290], [12202, 1288], [12200, 1285], [12198, 1283], [12193, 1273], [12192, 1270], [12191, 1268], [12190, 1265], [12189, 1263], [12189, 1259], [12188, 1257], [12188, 1251], [12187, 1249], [12187, 1233], [12188, 1229], [12188, 1225], [12189, 1221], [12189, 1216], [12190, 1211], [12191, 1205], [12193, 1195], [12195, 1192], [12199, 1190], [12201, 1190], [12235, 1195], [12236, 1196], [12238, 1195], [12337, 1213], [12388, 1221], [12437, 1229], [12439, 1230], [12523, 1240], [12552, 1240], [12555, 1239], [12559, 1239], [12561, 1238], [12563, 1238], [12566, 1237], [12567, 1236], [12571, 1234], [12573, 1234], [12573, 1233], [12579, 1230], [12591, 1218], [12593, 1214], [12595, 1212], [12596, 1209], [12598, 1205], [12599, 1204], [12600, 1201], [12602, 1198], [12602, 1197], [12604, 1193], [12606, 1187], [12607, 1183], [12608, 1180], [12610, 1177], [12610, 1175], [12611, 1172], [12612, 1168], [12613, 1167], [12616, 1161], [12615, 1161], [12623, 1136], [12627, 1121], [12630, 1118], [12633, 1116], [12724, 1109], [12728, 1110], [12731, 1113], [12732, 1117], [12728, 1150], [12726, 1167], [12725, 1182], [12725, 1196]]"
L0005,s000008,M0005,"[[12148, 1225], [12150, 1228], [12151, 1231], [12151, 1299], [12150, 1303], [12147, 1305], [12144, 1306], [11948, 1306], [11944, 1305], [11942, 1302], [11941, 1299], [11941, 1231], [11942, 1227], [11945, 1225], [11948, 1224], [12144, 1224]]"
L0005,s000009,M0005,"[[2596, 1145], [2595, 1149], [2592, 1151], [2588, 1152], [2361, 1111], [2357, 1109], [2355, 1106], [2355, 1103], [2359, 1053], [2361, 1050], [2364, 1047], [2369, 1047], [2370, 1027], [2371, 1023], [2377, 1020], [2405, 1018], [2466, 1018], [2498, 1019], [2512, 1019], [2523, 1020], [2535, 1020], [2542, 1021], [2550, 1021], [2554, 1022], [2555, 1022], [2567, 1023], [2600, 1026], [2603, 1028], [2606, 1031], [2606, 1034], [2602, 1073], [2602, 1076]]"
L0005,s000010,M0005,"[[13695, 1117], [13697, 1120], [13698, 1123], [13699, 1191], [13698, 1195], [13695, 1197], [13692, 1198], [13518, 1198], [13514, 1197], [13512, 1194], [13511, 1191], [13511, 1123], [13512, 1119], [13515, 1117], [13518, 1116], [13691, 1116]]"
